[29-May-2008 20:56:41] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 20:56:54] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:57:21] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 20:57:21] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 20:57:40] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 20:57:40] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 20:58:18] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:58:23] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:59:53] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:59:58] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 21:00:21] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 21:03:42] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 21:03:45] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 21:04:17] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 21:05:47] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 21:07:21] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 21:07:21] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 21:07:26] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 21:07:26] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 21:08:07] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
